Id,date,region,agreement,agreement_eng,event_type,event_type_eng,subject,subject_eng,organizer,organizer_eng,description,description_eng,ovd,place,number_of_detentions,links
104,12.08.2013,Москва,не согласовано,Unauthorised,пикет,Picket,социальная,Social,другое,Other,"Акция многодетных матерей у офиса ""Единой России""",,ОВД Мещанское,"Переяславский переулок, 4",2,http://ovdinfo.org/express-news/2013/08/12/u-ofisa-edinoy-rossii-snova-proshli-zaderzhaniya-aktivistov
105,13.08.2013,Москва,не согласовано,Unauthorised,активист,Activist,выборы,For fair elections,Братья Навального,,Обыск в квартире сторонников Навального,,ОВД Басманное,Чистопрудный бульвар,4,"http://ovdinfo.org/express-news/2013/08/14/sud-oshtrafoval-bratev-navalnogo, http://ovdinfo.org/express-news/2013/08/14/zaderzhannyh-bratev-navalnogo-ostavlyayut-na-noch-v-policii, http://ovdinfo.org/express-news/2013/08/13/zaderzhannye-na-chistoprudnom-bulvare-bratya-navalnogo-dostavleny-v, http://lenta.ru/news/2013/08/14/trial/"
106,13.08.2013,Москва,не согласовано,Unauthorised,пикет,Picket,социальная,Social,другое,Other,"Акция многодетных матерей у офиса ""Единой России""",,ОВД Мещанское,"1 - у офиса ЕР, Переяславский переулок, 4, 6 - у ОВД Мещанское",7,"http://ovdinfo.org/express-news/2013/08/14/sud-otpustil-aktivistov-na-svobodu, http://ovdinfo.org/express-news/2013/08/14/kalmykova-i-gruppa-podderzhki-provedut-noch-v-ovd-meshchanskoe, http://ovdinfo.org/express-news/2013/08/13/eshche-5-zaderzhannyh-iz-gruppy-podderzhki-iriny-kalmykovoy-u-meshchanskogo, http://ovdinfo.org/express-news/2013/08/13/u-ovd-meshchanskoe-zaderzhan-ildar-dadin-stoyavshiy-v-odinochnom-pikete, http://ovdinfo.org/express-news/2013/08/13/skoraya-pomoshch-otkazalas-gospitalizirovat-kalmykovu, http://ovdinfo.org/express-news/2013/08/13/irine-kalmykovoy-grozit-arest-na-15-sutok, http://ovdinfo.org/express-news/2013/08/13/irina-kalmykova-vnov-zaderzhana-u-ofisa-er, http://ovdinfo.org/express-news/2013/08/12/aktivistke-ugrozhayut-lisheniem-roditelskih-prav"
107,14.08.2013,Москва,не согласовано,Unauthorised,пикет,Picket,социальная,Social,другое,Other,Акция градозащитников на Абельмановской улице,,ОВД Таганское,Абельмановская улица д.2,3,http://ovdinfo.org/express-news/2013/08/14/v-moskve-zaderzhany-gradozashchitniki
108,15.08.2013,Москва,не согласовано,Unauthorised,пикет,Picket,социальная,Social,другое,Other,"Пикет многодетных матерей у офиса ""Единой России""",,ОВД Мещанское,"Переяславский переулок, 4",1,"http://ovdinfo.org/express-news/2013/08/16/irinu-kalmykovu-otpustili-iz-meshchanskogo-ovd, http://ovdinfo.org/express-news/2013/08/15/kalmykovoy-predyavleno-obvinenie-po-st193-koap-nepovinovenie-zakonnomu, http://ovdinfo.org/express-news/2013/08/15/u-ofisa-edinoy-rossii-zaderzhana-irina-kalmykova"
109,16.08.2013,Москва,согласовано,Authorised,агитация,Agitation,выборы,For fair elections,штаб Навального,,"Задержание сторонника Алексея Навального, раздавашего листовки",,ОВД Орехово-Борисово Северное,Орехово,1,http://ovdinfo.org/express-news/2013/08/16/policiya-zaderzhala-agitatora-iz-komandy-navalnogo
110,17.08.2013,Москва,не согласовано,Unauthorised,прогулка,Stroll,другое,Other,пастафарианцы,,Пастный ход,,ОВД Тверкое,возле здания ГУВД Москвы на Петровке 38 и на Страстном бульваре,8,"http://ovdinfo.org/express-news/2013/08/17/aktivistov-russkoy-pastafarianskoy-cerkvi-otpuskayut-iz-ovd-tverskoy, http://ovdinfo.org/express-news/2013/08/17/na-strastnom-bulvare-zaderzhany-vosem-pastafariancev"
111,20.08.2013,Москва,не согласовано,Unauthorised,одиночный пикет,One-person picket,социальная,Social,другое,Other,Пикет Администрации президента по поводу профессиональных заболеваний,,ОВД Китай-город,"у Администрации президента, Ильинка, 23",1,http://ovdinfo.org/express-news/2013/08/20/u-administracii-prezidenta-zaderzhali-shahtershu-iz-kuzbassa
112,25.08.2013,Москва,не согласовано,Unauthorised,митинг,Rally,выборы,For fair elections,штаб Навального,,Встреча кандидата в мэры Москвы Алексея Навального с избирателями,,ОВД Сокольники,Сокольники,11,"http://ovdinfo.org/express-news/2013/08/25/zaderzhaniya-v-sokolnikah, http://lenta.ru/news/2013/08/26/free/"
113,25.08.2013,Москва,не согласовано,Unauthorised,пикет,Picket,другое,Other,Солидарность,Solidarity Movement,"Пикет ""За вашу и нашу свободу"" в честь годовщины акции 1968 года",,ОВД Китай-город,Красная площадь,10,"http://ovdinfo.org/express-news/2013/08/25/pochti-vse-zaderzhannye-na-krasnoy-ploshchadi-otpushcheny, http://ovdinfo.org/express-news/2013/08/25/troih-zaderzhannyh-davydova-petrishcheva-i-grishko-pomestili-v-obezyannik, http://ovdinfo.org/express-news/2013/08/25/neskolko-minut-nazad-v-ovd-kitay-gorod-byli-dostavleny-desyat-chelovek"
