Id,date,agreement,agreement_eng,event_type,event_type_eng,subject,subject_eng,organizer,organizer_eng,description,description_eng,place,number_of_detentions,links
199,15.10.2012,не согласовано,Unauthorised,агитация,Agitation,антиПутин,anti-Putin,Солидарность,Solidarity Movement,"Раздача доклада ""Жизнь раба на галерах""","Distribution of the brochure ""Living as a galley slave""",,1,http://ovdinfo.org/express-news/1052
200,16.10.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,Пикет в поддержку узника 6 мая Владимира Акименкова,Rally in support of the 6 May  prisoner Vladimir Akimenkov,Красная площадь,3,http://ovdinfo.org/express-news/1054
201,17.10.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,Пикет в поддержку Сергея Удальцова и Леонида Развозжаева,Rally in support of Sergei Udaltsov and Leonid Razvozzhaev,следственный комитет,2,http://ovdinfo.org/express-news/1057
202,23.10.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,"Пикет ""Против произвола ФСБ"" в поддержку Леонида Развозжаева","Picket ""against the tyranny of the FSB"" to support Leonida Razvozzhaev",Лубянка,3,http://ovdinfo.org/express-news/1059
203,24.10.2012,не согласовано,Unauthorised,акция,Direct action,другое,Other,Другая Россия,Other Russia,"Акция против ""китайской экспансии""","Action against ""Chinese expansion""",ул. Дружбы,6,http://ovdinfo.org/express-news/1062
205,27.10.2012,не согласовано,Unauthorised,прогулка,Stroll,политзеки,Political prisoners,Координационный совет,Coordination Council,"""Прогулка против репрессий""","""Stroll Against Repression""",,7,http://ovdinfo.org/express-news/1067
204,27.10.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,Пикет у ОВД Басманное в поддержку задержанных,Picket at ATS Basmannoe in support of detained,ОВД Басманное,4,http://ovdinfo.org/express-news/1070
206,30.10.2012,не согласовано,Unauthorised,акция,Direct action,Стратегия-31,Strategy-31,Другая Россия,Other Russia,Задержание активистов,Activists arrested,мэрия,8,http://ovdinfo.org/express-news/1078
207,31.10.2012,не согласовано,Unauthorised,митинг,Rally,Стратегия-31,Strategy-31,Стратегия-31,Strategy-31,Стратегия-31,Strategy 31,Триумфальная,12,http://ovdinfo.org/express-news/1083
208,04.11.2012,не согласовано,Unauthorised,акция,Direct action,антифа,Antifa,антифа,Antifa,"Акция Антифа по перекрытию Тверской ""Наш ответ репрессиям - солидарность""","Antifa action to block the Tverskaya Street ""Our response to repression is solidarity""",Тверская,6,http://ovdinfo.org/express-news/1093
209,16.11.2012,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,стихийная,Spontaneous,"Вручение судье репродукции картины Герарда Давида ""Сдирание кожи с продажного судьи""","Handing a judge a copy of the painting by Gerard David ""skinning of a corrupt judge'",Замоскворецкий районный районный суд,2,http://ovdinfo.org/express-news/1100
210,24.11.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,политзеки,Political prisoners,стихийная,Spontaneous,"Серия одиночных пикетов в поддержку политзаключенных ""Завтра придут за тобой""","A series of one-person pickets in support of political prisoners, ""Tomorrow they will come for you""","Тверская, Красная площадь",3,"http://ovdinfo.org/express-news/1103, http://ovdinfo.org/express-news/1102,"
211,25.11.2012,не согласовано,Unauthorised,акция,Direct action,антиПутин,anti-Putin,другое,Other,Посещение памятника жертвам политических репрессий в лесу под городом Троицк,Visit to the monument to victims of political repression in the woods near Troitsk,г.Троицк,1,http://ovdinfo.org/express-news/1106
212,26.11.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,Пикет в поддержку заключенных ИК-6 в Копейске,Rally in support of prisoners at IR-6 Kopeisk,Житная,16,"http://ovdinfo.org/express-news/1107, http://ovdinfo.org/express-news/1108"
213,28.11.2012,не согласовано,Unauthorised,активист,Activist,антиПутин,anti-Putin,Другая Россия,Other Russia,Задержание активистов,Activists arrested,м. Октябрьская,5,http://ovdinfo.org/express-news/1114
214,29.11.2012,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,стихийная,Spontaneous,"Вывешивание плаката  ""СК ЭТО ГЕСТАПО"" напротив СК","Hanging poster ""SK is gestapo"" against SK (Investigative Committee)",Басманная,3,http://ovdinfo.org/express-news/1116
215,05.12.2012,не согласовано,Unauthorised,активист,Activist,другое,Other,другое,Other,Годовщина митинга 5 декабря 2011,"Anniversary of the rally on December 5, 2011",Чистые пруды,2,http://ovdinfo.org/express-news/1120
216,11.12.2012,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,Другая Россия,Other Russia,"Акция ""Другой России"" в годовщину столкновений на Манежной, в поддержку заключенным соратникам","Other Russia action on the anniversary of clashes on Manezh Square, in support of imprisoned comrades",Манежная площадь,1,http://ovdinfo.org/express-news/1133
217,12.12.2012,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,другое,Other,Акция левых активистов с требованием освободить своих товарищей,Action by left activists demanding the release of their comrades,Следственный комитет,2,http://ovdinfo.org/express-news/1135
